codigo_edificio,numero_departamento,codigo_unidad,estatus,observaciones
B01,D01,ALB-B01-D01,ACTIVA,PROVISIONAL
B01,D02,ALB-B01-D02,ACTIVA,PROVISIONAL
B01,D03,ALB-B01-D03,ACTIVA,PROVISIONAL
B01,D04,ALB-B01-D04,ACTIVA,PROVISIONAL
B01,D05,ALB-B01-D05,ACTIVA,PROVISIONAL
B01,D06,ALB-B01-D06,ACTIVA,PROVISIONAL
B02,D01,ALB-B02-D01,ACTIVA,PROVISIONAL
B02,D02,ALB-B02-D02,ACTIVA,PROVISIONAL
B02,D03,ALB-B02-D03,ACTIVA,PROVISIONAL
B02,D04,ALB-B02-D04,ACTIVA,PROVISIONAL
B02,D05,ALB-B02-D05,ACTIVA,PROVISIONAL
B02,D06,ALB-B02-D06,ACTIVA,PROVISIONAL
B03,D01,ALB-B03-D01,ACTIVA,PROVISIONAL
B03,D02,ALB-B03-D02,ACTIVA,PROVISIONAL
B03,D03,ALB-B03-D03,ACTIVA,PROVISIONAL
B03,D04,ALB-B03-D04,ACTIVA,PROVISIONAL
B03,D05,ALB-B03-D05,ACTIVA,PROVISIONAL
B03,D06,ALB-B03-D06,ACTIVA,PROVISIONAL
B04,D01,ALB-B04-D01,ACTIVA,PROVISIONAL
B04,D02,ALB-B04-D02,ACTIVA,PROVISIONAL
B04,D03,ALB-B04-D03,ACTIVA,PROVISIONAL
B04,D04,ALB-B04-D04,ACTIVA,PROVISIONAL
B04,D05,ALB-B04-D05,ACTIVA,PROVISIONAL
B04,D06,ALB-B04-D06,ACTIVA,PROVISIONAL
B05,D01,ALB-B05-D01,ACTIVA,PROVISIONAL
B05,D02,ALB-B05-D02,ACTIVA,PROVISIONAL
B05,D03,ALB-B05-D03,ACTIVA,PROVISIONAL
B05,D04,ALB-B05-D04,ACTIVA,PROVISIONAL
B05,D05,ALB-B05-D05,ACTIVA,PROVISIONAL
B05,D06,ALB-B05-D06,ACTIVA,PROVISIONAL
B06,D01,ALB-B06-D01,ACTIVA,PROVISIONAL
B06,D02,ALB-B06-D02,ACTIVA,PROVISIONAL
B06,D03,ALB-B06-D03,ACTIVA,PROVISIONAL
B06,D04,ALB-B06-D04,ACTIVA,PROVISIONAL
B06,D05,ALB-B06-D05,ACTIVA,PROVISIONAL
B06,D06,ALB-B06-D06,ACTIVA,PROVISIONAL
B07,D01,ALB-B07-D01,ACTIVA,PROVISIONAL
B07,D02,ALB-B07-D02,ACTIVA,PROVISIONAL
B07,D03,ALB-B07-D03,ACTIVA,PROVISIONAL
B07,D04,ALB-B07-D04,ACTIVA,PROVISIONAL
B07,D05,ALB-B07-D05,ACTIVA,PROVISIONAL
B07,D06,ALB-B07-D06,ACTIVA,PROVISIONAL
B08,D01,ALB-B08-D01,ACTIVA,PROVISIONAL
B08,D02,ALB-B08-D02,ACTIVA,PROVISIONAL
B08,D03,ALB-B08-D03,ACTIVA,PROVISIONAL
